#k-distance eigenvalue[eV]
3.90235474 -32.62920000
3.91964143 -32.62920000
3.93692811 -32.62920000
3.95421479 -32.62920000
3.97150147 -32.62920000
3.98878816 -32.62920000
4.00607484 -32.62920000
4.02336152 -32.62920000
4.04064820 -32.62920000
4.05793488 -32.62920000
4.07522156 -32.62920000
4.09250825 -32.62920000
4.10979493 -32.62920000

0.00000000 -32.63560000
0.02685343 -32.63560000
0.05370688 -32.63550000
0.08056031 -32.63530000
0.10741375 -32.63500000
0.13426719 -32.63470000
0.16112062 -32.63430000
0.18797406 -32.63380000
0.21482750 -32.63330000
0.24168093 -32.63280000
0.26853437 -32.63340000
0.29538781 -32.63400000
0.32224125 -32.63470000
0.34909468 -32.63540000
0.37594812 -32.63610000
0.40280156 -32.63680000
0.40280156 -32.63680000
0.42715802 -32.63680000
0.45151449 -32.63670000
0.47587095 -32.63650000
0.50022741 -32.63620000
0.52458387 -32.63580000
0.54894034 -32.63540000
0.57329680 -32.63490000
0.59765326 -32.63430000
0.62200972 -32.63370000
0.64636618 -32.63300000
0.67072265 -32.63230000
0.69507911 -32.63160000
0.71943557 -32.63080000
0.74379204 -32.63000000
0.76814850 -32.62920000
0.76814850 -32.62920000
0.79500194 -32.62990000
0.82185538 -32.63050000
0.84870881 -32.63120000
0.87556225 -32.63180000
0.90241569 -32.63250000
0.92926912 -32.63310000
0.95612256 -32.63360000
0.98297600 -32.63410000
1.00982944 -32.63460000
1.03668287 -32.63490000
1.06353631 -32.63530000
1.09038975 -32.63550000
1.11724318 -32.63570000
1.14409662 -32.63580000
1.17095006 -32.63580000
1.17095006 -32.63580000
1.19530652 -32.63500000
1.21966299 -32.63420000
1.24401945 -32.63340000
1.26837591 -32.63260000
1.29273238 -32.63190000
1.31708884 -32.63250000
1.34144530 -32.63310000
1.36580176 -32.63370000
1.39015822 -32.63420000
1.41451469 -32.63460000
1.43887115 -32.63490000
1.46322761 -32.63520000
1.48758407 -32.63540000
1.51194054 -32.63550000
1.53629700 -32.63560000
1.53629700 -32.63560000
1.55358368 -32.63560000
1.57087037 -32.63580000
1.58815705 -32.63600000
1.60544373 -32.63640000
1.62273041 -32.63670000
1.64001709 -32.63710000
1.65730377 -32.63750000
1.67459046 -32.63790000
1.69187714 -32.63840000
1.70916382 -32.63880000
1.72645051 -32.63920000
1.74373719 -32.63970000
1.76102387 -32.64000000
1.77831055 -32.64040000
1.79559723 -32.64080000
1.79559723 -32.64080000
1.82245067 -32.64080000
1.84930411 -32.64070000
1.87615755 -32.64050000
1.90301098 -32.64030000
1.92986442 -32.64000000
1.95671786 -32.63970000
1.98357129 -32.63930000
2.01042473 -32.63900000
2.03727817 -32.63850000
2.06413160 -32.63810000
2.09098505 -32.63770000
2.11783848 -32.63740000
2.14469191 -32.63710000
2.17154536 -32.63690000
2.19839879 -32.63690000
2.19839879 -32.63690000
2.22275525 -32.63680000
2.24711172 -32.63670000
2.27146818 -32.63650000
2.29582464 -32.63620000
2.32018111 -32.63590000
2.34453757 -32.63540000
2.36889403 -32.63490000
2.39325050 -32.63440000
2.41760696 -32.63370000
2.44196342 -32.63310000
2.46631989 -32.63230000
2.49067635 -32.63160000
2.51503281 -32.63080000
2.53938927 -32.63000000
